Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2016-08-09 01:00 AM,2016,08,09,01,63,2,17.7,6.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 02:00 AM,2016,08,09,02,63,2,17.9,11.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 03:00 AM,2016,08,09,03,65,2,18.7,8.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 04:00 AM,2016,08,09,04,67,2,19.6,8.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 05:00 AM,2016,08,09,05,68,2,20.3,7.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 06:00 AM,2016,08,09,06,69,2,20.8,7.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 07:00 AM,2016,08,09,07,71,2,21.5,10.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 08:00 AM,2016,08,09,08,71,2,21.8,10.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 09:00 AM,2016,08,09,09,72,2,21.9,22.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 10:00 AM,2016,08,09,10,72,2,21.9,30.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 11:00 AM,2016,08,09,11,70,2,21.3,42.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 12:00 PM,2016,08,09,12,71,2,21.8,21.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 01:00 PM,2016,08,09,13,74,2,22.8,21.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2016-08-09 02:00 PM,2016,08,09,14,78,2,24.8,37.6,UG/M3,1 Hr,Valid
