Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2017-06-01 01:00 AM,2017,06,01,01,26.2,81,Moderate,17.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 02:00 AM,2017,06,01,02,25.0,78,Moderate,23.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 03:00 AM,2017,06,01,03,24.0,76,Moderate,22.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 04:00 AM,2017,06,01,04,22.9,74,Moderate,21.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 05:00 AM,2017,06,01,05,20.4,68,Moderate,18.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 06:00 AM,2017,06,01,06,19.7,67,Moderate,19.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 07:00 AM,2017,06,01,07,21.0,70,Moderate,22.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 08:00 AM,2017,06,01,08,25.9,80,Moderate,30.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 09:00 AM,2017,06,01,09,26.2,81,Moderate,26.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 10:00 AM,2017,06,01,10,33.5,96,Moderate,40.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 11:00 AM,2017,06,01,11,36.4,103,Unhealthy for Sensitive Groups,39.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 12:00 PM,2017,06,01,12,28.1,85,Moderate,19.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 01:00 PM,2017,06,01,13,21.0,70,Moderate,13.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 02:00 PM,2017,06,01,14,16.0,59,Moderate,11.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 03:00 PM,2017,06,01,15,13.5,54,Moderate,11.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 04:00 PM,2017,06,01,16,12.7,52,Moderate,11.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 05:00 PM,2017,06,01,17,11.5,48,Good,10.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 06:00 PM,2017,06,01,18,15.7,59,Moderate,19.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 07:00 PM,2017,06,01,19,17.8,63,Moderate,19.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 08:00 PM,2017,06,01,20,33.7,96,Moderate,49.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 09:00 PM,2017,06,01,21,78.3,163,Unhealthy,122.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 10:00 PM,2017,06,01,22,83.9,166,Unhealthy,89.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-01 11:00 PM,2017,06,01,23,65.2,156,Unhealthy,46.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 12:00 AM,2017,06,02,00,49.6,136,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 01:00 AM,2017,06,02,01,42.6,118,Unhealthy for Sensitive Groups,35.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 02:00 AM,2017,06,02,02,34.9,99,Moderate,27.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 03:00 AM,2017,06,02,03,33.9,97,Moderate,32.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 04:00 AM,2017,06,02,04,32.8,95,Moderate,31.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 05:00 AM,2017,06,02,05,29.8,88,Moderate,26.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 06:00 AM,2017,06,02,06,27.0,82,Moderate,24.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 07:00 AM,2017,06,02,07,29.6,88,Moderate,32.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 08:00 AM,2017,06,02,08,33.9,97,Moderate,38.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 09:00 AM,2017,06,02,09,39.0,110,Unhealthy for Sensitive Groups,44.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2017-06-02 10:00 AM,2017,06,02,10,38.7,109,Unhealthy for Sensitive Groups,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2017-06-02 11:00 AM,2017,06,02,11,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
